customer_id,age,income,days_as_member,gender_F,gender_M,offer_viewed,offer_completed,viewed_before_completion,difficulty,reward,duration_hrs,mobile,social,web,is_bogo,is_discount,total_transactions,total_transaction_amount
0610b486422d4921ae7d2bf64640c50b,55,112000,376,1,0,0,1,0,5,5,168,1,0,1,1,0,1,23.22
78afa995795e4d85b5d9ceeca43f5fef,75,100000,443,1,0,1,1,1,5,5,168,1,0,1,1,0,1,19.89
78afa995795e4d85b5d9ceeca43f5fef,75,100000,443,1,0,1,1,1,10,10,168,1,1,0,1,0,1,21.72
78afa995795e4d85b5d9ceeca43f5fef,75,100000,443,1,0,1,1,0,5,5,120,1,1,1,1,0,1,21.72
e2127556f4f64592b11af22de27a7932,68,70000,91,0,1,1,1,1,5,5,168,1,0,1,1,0,1,18.42
e2127556f4f64592b11af22de27a7932,68,70000,91,0,1,1,1,1,10,2,240,1,1,1,0,1,1,18.42
389bc3fa690240e798340f5a15918d5c,65,53000,167,0,1,1,1,1,5,5,120,1,1,1,1,0,1,9.54
389bc3fa690240e798340f5a15918d5c,65,53000,167,0,1,1,1,1,5,5,168,1,0,1,1,0,1,15.63
389bc3fa690240e798340f5a15918d5c,65,53000,167,0,1,1,1,1,10,2,168,1,0,1,0,1,1,15.63
389bc3fa690240e798340f5a15918d5c,65,53000,167,0,1,1,1,1,10,2,240,1,1,1,0,1,1,11.26
2eeac8d8feae4a8cad5a6af0499a211d,58,51000,257,0,1,1,1,1,10,2,240,1,1,1,0,1,2,12.43
aa4862eba776480b8bb9c68455b8c2e1,61,57000,318,1,0,1,1,1,10,10,120,1,1,1,1,0,1,12.33
aa4862eba776480b8bb9c68455b8c2e1,61,57000,318,1,0,1,1,0,10,10,168,1,1,0,1,0,1,15.95
aa4862eba776480b8bb9c68455b8c2e1,61,57000,318,1,0,1,1,1,5,5,120,1,1,1,1,0,1,12.56
e12aeaf2d47d42479ea1c4ac3d8286c6,26,46000,1624,0,1,0,1,0,20,5,240,0,0,1,0,1,7,37.05
31dda685af34476cad5bc968bdb01c53,62,71000,896,1,0,1,1,1,10,2,240,1,1,1,0,1,1,24.87
31dda685af34476cad5bc968bdb01c53,62,71000,896,1,0,1,1,1,7,3,168,1,1,1,0,1,1,12.57
62cf5e10845442329191fc246e7bcea3,49,52000,1351,0,1,1,1,1,10,10,168,1,1,0,1,0,4,126.19
6445de3b47274c759400cd68131d91b4,57,42000,207,0,1,0,1,0,5,5,168,1,0,1,1,0,2,6.66
6445de3b47274c759400cd68131d91b4,57,42000,207,0,1,1,1,1,7,3,168,1,1,1,0,1,3,7.11
440cf1fd7580490c971d8c651ed962af,40,71000,813,1,0,1,1,1,7,3,168,1,1,1,0,1,1,16.61
440cf1fd7580490c971d8c651ed962af,40,71000,813,1,0,1,1,0,20,5,240,0,0,1,0,1,1,35.92
440cf1fd7580490c971d8c651ed962af,40,71000,813,1,0,0,1,0,10,2,168,1,0,1,0,1,1,15.59
4b0da7e80e5945209a1fdddfe813dbe0,64,100000,320,0,1,1,1,1,10,10,168,1,1,0,1,0,6,170.33
4b0da7e80e5945209a1fdddfe813dbe0,64,100000,320,0,1,1,1,1,20,5,240,0,0,1,0,1,1,32.31
c27e0d6ab72c455a8bb66d980963de60,78,71000,405,1,0,1,1,1,10,2,240,1,1,1,0,1,1,13.32
f806632c011441378d4646567f357a21,42,69000,1810,0,1,1,1,1,10,2,240,1,1,1,0,1,1,28.29
f806632c011441378d4646567f357a21,42,69000,1810,0,1,1,1,1,10,10,120,1,1,1,1,0,1,12.94
d058f73bf8674a26a95227db098147b1,56,88000,89,1,0,1,1,1,20,5,240,0,0,1,0,1,2,47.14
d058f73bf8674a26a95227db098147b1,56,88000,89,1,0,1,1,1,10,2,168,1,0,1,0,1,1,27.23
d058f73bf8674a26a95227db098147b1,56,88000,89,1,0,1,1,1,10,10,120,1,1,1,1,0,1,28.48
c6c9884912c645429f3333f912b55f44,33,52000,303,1,0,1,1,1,10,2,240,1,1,1,0,1,3,11.26
ebe7ef46ea6f4963a7dd49f501b26779,59,41000,1282,0,1,1,1,1,10,2,240,1,1,1,0,1,2,11.56
ebe7ef46ea6f4963a7dd49f501b26779,59,41000,1282,0,1,1,1,1,10,2,168,1,0,1,0,1,3,14.68
5917d13f6fa04286abdf95f4d5cefb1e,67,96000,1433,0,1,1,1,1,5,5,120,1,1,1,1,0,1,25.42
5917d13f6fa04286abdf95f4d5cefb1e,67,96000,1433,0,1,1,1,1,7,3,168,1,1,1,0,1,1,31.53
5917d13f6fa04286abdf95f4d5cefb1e,67,96000,1433,0,1,0,1,0,10,10,168,1,1,0,1,0,1,23.01
d1ede868e29245ea91818a903fec04c6,53,52000,313,0,0,0,1,0,10,2,168,1,0,1,0,1,2,11.44
1e9420836d554513ab90eba98552d0a9,22,70000,304,0,1,1,1,1,10,10,120,1,1,1,1,0,1,17.11
1e9420836d554513ab90eba98552d0a9,22,70000,304,0,1,1,1,1,7,3,168,1,1,1,0,1,1,20.63
1e9420836d554513ab90eba98552d0a9,22,70000,304,0,1,1,1,1,20,5,240,0,0,1,0,1,1,28.82
868317b9be554cb18e50bc68484749a2,96,89000,251,1,0,0,1,0,10,2,168,1,0,1,0,1,1,12.03
868317b9be554cb18e50bc68484749a2,96,89000,251,1,0,0,1,0,5,5,168,1,0,1,1,0,1,19.47
868317b9be554cb18e50bc68484749a2,96,89000,251,1,0,1,1,1,5,5,120,1,1,1,1,0,1,22.05
868317b9be554cb18e50bc68484749a2,96,89000,251,1,0,0,1,0,7,3,168,1,1,1,0,1,1,22.05
f082d80f0aac47a99173ba8ef8fc1909,40,33000,747,0,1,1,1,0,5,5,168,1,0,1,1,0,1,5.47
102e9454054946fda62242d2e176fdce,69,57000,711,1,0,1,1,1,10,10,120,1,1,1,1,0,1,19.88
102e9454054946fda62242d2e176fdce,69,57000,711,1,0,1,1,1,5,5,168,1,0,1,1,0,1,19.92
102e9454054946fda62242d2e176fdce,69,57000,711,1,0,1,1,1,10,10,168,1,1,0,1,0,1,18.48
8dabe2142cdf4013a6f4786edf8ab00f,56,68000,1537,0,1,1,1,0,10,2,240,1,1,1,0,1,1,16.48
8dabe2142cdf4013a6f4786edf8ab00f,56,68000,1537,0,1,1,1,1,20,5,240,0,0,1,0,1,3,43.32
9f30b375d7bd4c62a884ffe7034e09ee,26,63000,348,1,0,1,1,1,7,3,168,1,1,1,0,1,4,10.68
9f30b375d7bd4c62a884ffe7034e09ee,26,63000,348,1,0,1,1,1,10,2,240,1,1,1,0,1,4,11.42
6e014185620b49bd98749f728747572f,75,40000,987,0,1,1,1,1,5,5,120,1,1,1,1,0,2,9.61
6e014185620b49bd98749f728747572f,75,40000,987,0,1,1,1,1,10,2,168,1,0,1,0,1,1,115.0
6e014185620b49bd98749f728747572f,75,40000,987,0,1,1,1,1,7,3,168,1,1,1,0,1,2,9.56
c0d210398dee4a0895b24444a5fcd1d2,45,33000,19,0,1,1,1,1,5,5,168,1,0,1,1,0,1,6.01
c0d210398dee4a0895b24444a5fcd1d2,45,33000,19,0,1,1,1,1,7,3,168,1,1,1,0,1,2,12.63
